"Date","Price","Open","High","Low","Vol.","Change %"
"Apr 01, 2009","43.02","35.24","44.66","35.03","56.14M","20.20%"
"Mar 01, 2009","35.79","33.76","40.07","29.59","87.06M","2.90%"
"Feb 01, 2009","34.78","32.90","41.59","32.35","102.39M","3.91%"
"Jan 01, 2009","33.47","34.74","38.85","29.00","80.99M","-1.93%"
"Dec 01, 2008","34.13","30.24","35.17","22.08","86.84M","8.63%"
"Nov 01, 2008","31.42","38.89","43.54","23.08","123.32M","-17.27%"
"Oct 01, 2008","37.98","57.24","57.68","25.92","236.37M","-32.28%"
"Sept 01, 2008","56.08","81.00","87.75","51.66","127.08M","-33.48%"
"Aug 01, 2008","84.30","89.37","89.84","72.76","85.33M","-4.20%"
"Jul 01, 2008","88.00","105.82","108.50","80.05","117.39M","-18.17%"
"Jun 01, 2008","107.54","87.41","113.88","86.31","124.41M","23.02%"
"May 01, 2008","87.42","77.68","91.00","75.23","81.29M","10.66%"
"Apr 01, 2008","79.00","63.44","95.47","59.77","125.09M","27.19%"
"Mar 01, 2008","62.11","72.96","75.38","59.40","63.25M","-15.81%"
"Feb 01, 2008","73.77","64.99","76.78","57.36","66.68M","14.51%"
"Jan 01, 2008","64.42","72.60","75.01","50.86","87.03M","-10.79%"
"Dec 01, 2007","72.21","57.40","76.14","54.40","57.87M","24.84%"
"Nov 01, 2007","57.84","61.09","64.74","50.50","33.58M","-9.01%"
"Oct 01, 2007","63.57","54.64","63.57","51.00","33.82M","16.90%"
"Sept 01, 2007","54.38","45.88","54.85","45.23","28.53M","19.41%"
"Aug 01, 2007","45.54","41.99","46.06","34.62","44.77M","8.64%"
"Jul 01, 2007","41.92","44.00","47.55","40.47","30.52M","-4.18%"
"Jun 01, 2007","43.75","38.64","46.35","36.68","32.88M","13.25%"
"May 01, 2007","38.63","39.26","40.05","35.89","30.85M","-0.26%"
"Apr 01, 2007","38.73","38.01","42.76","37.51","24.64M","1.04%"
"Mar 01, 2007","38.33","37.51","39.90","35.46","28.73M","-0.34%"
"Feb 01, 2007","38.46","34.91","41.53","34.63","25.38M","10.90%"
"Jan 01, 2007","34.68","31.99","34.77","30.13","22.02M","10.13%"
"Dec 01, 2006","31.49","30.99","31.83","29.00","15.20M","2.11%"
"Nov 01, 2006","30.84","27.56","30.98","27.42","17.34M","10.06%"
"Oct 01, 2006","28.02","27.00","28.98","25.70","19.27M","3.82%"
"Sept 01, 2006","26.99","23.37","27.38","22.50","9.74M","16.44%"
"Aug 01, 2006","23.18","24.27","24.34","22.22","8.84M","-4.37%"
"Jul 01, 2006","24.24","23.43","24.32","22.25","9.88M","4.39%"
"Jun 01, 2006","23.22","24.50","24.99","20.12","16.89M","-5.34%"
"May 01, 2006","24.53","26.05","28.45","24.15","16.14M","-5.00%"
"Apr 01, 2006","25.82","25.26","26.59","24.65","11.80M","2.22%"
"Mar 01, 2006","25.26","24.84","26.62","23.62","13.15M","1.41%"
