"Date","Price","Open","High","Low","Vol.","Change %"
"Oct 01, 2007","40.94","35.61","41.26","32.45","280.38M","16.21%"
"Sept 01, 2007","35.23","29.96","36.47","28.55","155.91M","19.34%"
"Aug 01, 2007","29.52","26.38","30.94","23.83","229.07M","9.70%"
"Jul 01, 2007","26.91","26.17","28.95","25.02","182.90M","3.54%"
"Jun 01, 2007","25.99","23.86","26.95","23.35","222.88M","9.89%"
"May 01, 2007","23.65","20.11","24.89","19.62","225.11M","18.55%"
"Apr 01, 2007","19.95","17.78","21.53","17.61","214.36M","12.27%"
"Mar 01, 2007","17.77","17.13","18.37","16.01","220.73M","1.31%"
"Feb 01, 2007","17.54","17.56","18.78","16.27","210.22M","1.15%"
"Jan 01, 2007","17.34","16.44","17.75","14.68","232.13M","8.78%"
"Dec 01, 2006","15.94","15.65","16.35","14.72","121.54M","1.92%"
"Nov 01, 2006","15.64","13.89","16.11","13.77","261.99M","12.68%"
"Oct 01, 2006","13.88","11.46","14.42","11.28","171.70M","19.86%"
"Sept 01, 2006","11.58","10.90","11.83","10.51","107.51M","6.34%"
"Aug 01, 2006","10.89","10.50","11.13","10.20","117.10M","3.71%"
"Jul 01, 2006","10.50","9.61","10.65","9.11","146.16M","9.95%"
"Jun 01, 2006","9.55","10.02","10.20","8.76","143.75M","-5.82%"
"May 01, 2006","10.14","10.65","11.82","9.61","174.06M","-3.61%"
"Apr 01, 2006","10.52","9.80","11.20","9.59","169.32M","7.46%"
"Mar 01, 2006","9.79","10.62","10.98","9.09","179.20M","-7.99%"
"Feb 01, 2006","10.64","9.99","11.03","9.84","145.05M","6.40%"
"Jan 01, 2006","10.00","8.93","10.07","8.68","174.25M","12.23%"
"Dec 01, 2005","8.91","8.16","9.19","8.12","119.09M","9.59%"
"Nov 01, 2005","8.13","9.14","9.49","8.09","147.67M","-11.15%"
"Oct 01, 2005","9.15","10.37","10.37","8.39","148.13M","-11.76%"
"Sept 01, 2005","10.37","12.23","12.42","10.32","88.39M","-15.21%"
"Aug 01, 2005","12.23","11.87","12.79","11.77","75.28M","3.29%"
"Jul 01, 2005","11.84","10.64","12.22","10.47","56.14M","11.49%"
"Jun 01, 2005","10.62","9.83","11.85","9.78","85.11M","5.67%"
"May 01, 2005","10.05","9.40","10.11","9.25","84.54M","7.49%"
"Apr 01, 2005","9.35","9.73","10.10","8.81","98.86M","-3.81%"
"Mar 01, 2005","9.72","9.87","10.10","9.14","86.91M","-1.52%"
"Feb 01, 2005","9.87","8.96","10.22","8.92","62.04M","9.91%"
"Jan 01, 2005","8.98","9.20","9.31","8.10","138.89M","-2.71%"
"Dec 01, 2004","9.23","8.49","9.33","8.31","89.58M","8.46%"
"Nov 01, 2004","8.51","7.43","8.52","7.41","70.30M","14.69%"
"Oct 01, 2004","7.42","7.13","7.43","6.74","103.01M","4.07%"
"Sept 01, 2004","7.13","6.17","7.14","6.12","111.41M","15.56%"
"Aug 01, 2004","6.17","5.43","6.20","5.40","97.33M","14.90%"
"Jul 01, 2004","5.37","5.37","5.57","5.09","64.55M","-0.19%"
"Jun 01, 2004","5.38","4.83","5.39","4.71","70.93M","11.39%"
"May 01, 2004","4.83","4.53","4.83","4.38","49.21M","6.62%"
"Apr 01, 2004","4.53","4.62","5.09","4.42","92.30M","-1.95%"
"Mar 01, 2004","4.62","4.59","4.71","4.24","42.89M","0.65%"
"Feb 01, 2004","4.59","4.59","4.77","4.35","42.09M","0.44%"
"Jan 01, 2004","4.57","4.81","4.97","4.41","58.17M","-4.79%"
"Dec 01, 2003","4.80","4.50","4.85","4.49","41.83M","6.43%"
"Nov 01, 2003","4.51","4.37","4.52","4.27","61.26M","3.20%"
"Oct 01, 2003","4.37","3.92","4.54","3.92","116.35M","11.48%"
"Sept 01, 2003","3.92","3.94","4.09","3.81","46.02M","-0.51%"
"Aug 01, 2003","3.94","3.60","3.94","3.50","30.80M","9.14%"
"Jul 01, 2003","3.61","3.54","3.76","3.43","50.45M","1.40%"
"Jun 01, 2003","3.56","3.43","3.61","3.31","84.53M","4.71%"
"May 01, 2003","3.40","3.41","3.64","3.37","65.28M","-0.58%"
"Apr 01, 2003","3.42","3.45","3.57","3.38","40.51M","-0.29%"
"Mar 01, 2003","3.43","3.44","3.66","3.28","68.69M","0.00%"
